ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-11-02 10:32,1.28,103.85,0.603,0.557,0,-6.863,1,0.0659,0.204,0.000564,0.0998,0.301,99.845,4
2017-11-02 10:39,1.282,103.849,0.57,0.289,3,-8.854,1,0.0687,0.843,0.0,0.13,0.339,81.566,4
2017-11-02 12:29,1.313,103.849,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,4
2017-11-02 12:29,1.312,103.848,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,4
2017-11-03 00:30,1.326,103.89,0.688,0.375,2,-10.066,0,0.0398,0.405,0.259,0.0992,0.214,100.014,4
2017-11-03 05:45,1.327,103.883,0.862,0.599,1,-6.116,0,0.296,0.407,0.0,0.0827,0.495,93.922,4
2017-11-03 05:48,1.326,103.891,0.826,0.427,1,-8.14,1,0.0884,0.468,0.0,0.106,0.241,119.994,4
2017-11-03 09:44,1.335,103.888,0.484,0.448,5,-6.061,1,0.0259,0.443,1.16e-05,0.0939,0.337,87.916,4
2017-11-03 10:04,1.313,103.851,0.719,0.718,2,-4.996,1,0.0316,0.307,0.000178,0.0846,0.693,153.937,4
2017-11-04 01:24,1.341,103.825,0.664,0.601,1,-10.829,1,0.273,0.326,0.0,0.286,0.457,118.005,4
2017-11-04 01:33,1.341,103.826,0.408,0.682,1,-5.8,1,0.263,0.0373,0.0,0.257,0.104,69.915,4
2017-11-04 01:36,1.341,103.83,0.59,0.498,9,-6.845,1,0.0827,0.162,0.0,0.0947,0.504,80.022,4
2017-11-06 03:37,1.313,103.851,0.467,0.503,6,-9.391,0,0.0543,0.444,0.0,0.108,0.181,104.187,4
2017-11-06 03:41,1.312,103.854,0.278,0.662,9,-6.075,1,0.0295,0.386,1.14e-05,0.134,0.274,181.683,3
2017-11-07 00:02,1.313,103.853,0.278,0.662,9,-6.075,1,0.0295,0.386,1.14e-05,0.134,0.274,181.683,3
2017-11-07 06:49,1.327,103.891,0.72,0.642,5,-6.585,1,0.0354,0.279,8e-06,0.122,0.457,103.989,4
2017-11-07 23:52,1.348,103.79,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4
2017-11-08 00:08,1.365,103.746,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,4
2017-11-08 04:59,1.346,103.738,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,4
2017-11-08 05:17,1.322,103.883,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
2017-11-09 00:24,1.308,103.849,0.716,0.805,4,-3.839,1,0.0856,0.014,3.1e-06,0.291,0.719,142.886,4
2017-11-09 10:41,1.313,103.852,0.489,0.622,2,-7.318,1,0.0423,0.0334,0.0,0.0699,0.329,143.053,4
2017-11-10 01:36,1.313,103.85,0.489,0.622,2,-7.318,1,0.0423,0.0334,0.0,0.0699,0.329,143.053,4
2017-11-10 09:34,1.351,103.873,0.746,0.174,7,-8.717,0,0.0507,0.944,0.0,0.0995,0.314,132.175,4
2017-11-11 09:36,1.315,103.852,0.663,0.489,5,-8.198,1,0.124,0.227,0.0,0.0769,0.117,81.959,4
2017-11-11 09:42,1.313,103.847,0.658,0.409,1,-7.393,1,0.0377,0.441,0.000278,0.0357,0.506,92.016,4
2017-11-11 09:52,1.317,103.848,0.737,0.396,1,-12.522,0,0.0616,0.372,0.000164,0.111,0.24,79.978,4
2017-11-11 09:59,1.314,103.851,0.65,0.684,5,-5.933,0,0.176,0.379,0.0,0.113,0.436,139.909,4
2017-11-11 10:12,1.312,103.848,0.724,0.452,1,-8.998,1,0.0884,0.223,0.0,0.118,0.139,141.903,4
2017-11-11 10:15,1.313,103.85,0.663,0.489,5,-8.198,1,0.124,0.227,0.0,0.0769,0.117,81.959,4
2017-11-11 10:20,1.315,103.851,0.682,0.627,11,-7.305,0,0.0969,0.101,1.34e-06,0.128,0.347,82.021,4
2017-11-11 10:26,1.316,103.847,0.658,0.409,1,-7.393,1,0.0377,0.441,0.000278,0.0357,0.506,92.016,4
2017-11-11 10:30,1.312,103.848,0.622,0.699,7,-6.514,1,0.0466,0.107,0.0,0.114,0.386,133.931,4
2017-11-13 00:39,1.351,103.873,0.793,0.486,0,-12.82,1,0.0889,0.181,0.00095,0.11,0.136,124.007,4
2017-11-13 00:43,1.326,103.89,0.744,0.543,9,-7.406,1,0.138,0.269,0.0,0.273,0.577,135.047,4
2017-11-13 10:03,1.327,103.891,0.797,0.507,1,-9.214,1,0.0694,0.308,0.0,0.108,0.447,102.069,4
2017-11-13 12:06,1.315,103.852,0.737,0.396,1,-12.522,0,0.0616,0.372,0.000164,0.111,0.24,79.978,4
2017-11-13 12:22,1.317,103.85,0.513,0.426,5,-8.029,1,0.252,0.274,5.6e-06,0.108,0.428,106.452,5
2017-11-13 12:25,1.316,103.848,0.797,0.507,1,-9.214,1,0.0694,0.308,0.0,0.108,0.447,102.069,4
2017-11-13 12:35,1.312,103.848,0.834,0.472,5,-7.777,0,0.0873,0.412,6.76e-05,0.0836,0.517,107.014,4
2017-11-13 12:38,1.312,103.848,0.725,0.544,5,-10.223,1,0.197,0.217,0.0,0.17,0.669,89.912,4
2017-11-13 12:38,1.313,103.85,0.725,0.544,5,-10.223,1,0.197,0.217,0.0,0.17,0.669,89.912,4
2017-11-14 00:37,1.337,103.867,0.717,0.572,5,-9.531,0,0.0756,0.153,0.000222,0.109,0.198,119.909,5
2017-11-14 10:19,1.35,103.874,0.663,0.489,5,-8.198,1,0.124,0.227,0.0,0.0769,0.117,81.959,4
2017-11-14 10:42,1.313,103.85,0.73,0.398,0,-9.516,1,0.0509,0.0784,0.018,0.0875,0.394,100.014,4
2017-11-15 00:09,1.313,103.846,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 00:17,1.329,103.841,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-11-15 00:52,1.331,103.848,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:29,1.331,103.849,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:29,1.332,103.848,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:50,1.33,103.89,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-15 01:55,1.326,103.891,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-11-15 03:25,1.327,103.89,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-15 10:28,1.336,103.888,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-11-15 10:31,1.335,103.893,0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,4
